City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
249,Najran,SA,2020-07-09 15:46:44,17.49,44.13,100.4,12,40,11.41
250,Mahebourg,MU,2020-07-09 15:50:40,-20.41,57.7,71.6,60,40,17.22
251,Verkh-Usugli,RU,2020-07-09 15:53:26,52.7,115.17,60.39,95,85,2.48
252,Moroni,KM,2020-07-09 15:53:26,-11.7,43.26,78.8,74,20,16.11
253,College,US,2020-07-09 15:53:26,64.86,-147.8,53.6,93,75,2.17
254,Geraldton,AU,2020-07-09 15:50:59,-28.77,114.6,46.4,87,0,10.29
255,Sao Filipe,CV,2020-07-09 15:51:01,14.9,-24.5,77.32,82,2,18.97
256,Saint-Joseph,RE,2020-07-09 15:53:27,-21.37,55.62,69.8,83,75,18.34
257,Lujan,AR,2020-07-09 15:53:27,-34.57,-59.1,55.99,47,46,14.99
258,Santa Cruz,BO,2020-07-09 15:48:38,-17.8,-63.17,60.8,67,90,13.87
259,Faya,SA,2020-07-09 15:50:49,18.39,42.45,80.6,39,40,11.41
260,Chokurdakh,RU,2020-07-09 15:50:07,70.63,147.92,45.18,79,99,10.85
261,Krasnoborsk,RU,2020-07-09 15:53:27,61.56,45.93,65.97,84,45,9.26
262,Giyani,ZA,2020-07-09 15:53:28,-23.3,30.72,65.03,53,0,3.31
263,Tahta,EG,2020-07-09 15:51:28,26.77,31.5,98.6,25,0,17.22
264,Kutum,SD,2020-07-09 15:51:01,14.2,24.67,86.38,32,70,15.05
265,Tiarei,PF,2020-07-09 15:53:28,-17.53,-149.33,69.8,73,8,3.36
266,Prainha,BR,2020-07-09 15:53:28,-1.8,-53.48,82.63,77,42,4.59
267,Russell,US,2020-07-09 15:52:47,32.35,-85.2,82.4,78,40,4.61
268,Arman,RU,2020-07-09 15:53:28,59.7,150.17,50.67,95,100,0.89
269,Salvador,SV,2020-07-09 15:50:26,13.83,-88.92,89.6,83,20,5.82
270,Mount Gambier,AU,2020-07-09 15:50:20,-37.83,140.77,42.8,87,100,6.93
271,Kattivakkam,IN,2020-07-09 15:53:29,13.22,80.32,86.0,74,40,5.82
272,Bontang,ID,2020-07-09 15:53:29,0.13,117.5,77.22,85,89,5.41
273,Gat,IL,2020-07-09 15:47:01,31.61,34.76,84.99,60,0,1.99
274,Magdagachi,RU,2020-07-09 15:53:29,53.45,125.8,63.46,74,76,6.8
275,Beyneu,KZ,2020-07-09 15:50:31,45.32,55.2,93.11,19,0,6.53
276,Villeneuve-Sur-Lot,FR,2020-07-09 15:53:30,44.5,0.67,90.0,35,0,8.05
277,Kabinda,CD,2020-07-09 15:53:30,-6.13,24.48,85.91,28,12,5.59
278,Cassilandia,BR,2020-07-09 15:53:30,-19.11,-51.73,74.16,58,80,6.2
279,Sovetsk,RU,2020-07-09 15:53:31,55.08,21.88,63.39,65,37,2.44
280,Victoria,HK,2020-07-09 15:45:50,22.29,114.16,86.0,74,100,15.01
281,Norman Wells,CA,2020-07-09 15:50:52,65.28,-126.83,55.4,71,75,2.24
282,Airai,TL,2020-07-09 15:51:00,-8.93,125.41,55.67,100,99,3.94
283,Banda Aceh,ID,2020-07-09 15:50:44,5.56,95.32,80.46,73,100,2.19
284,Port Moresby,PG,2020-07-09 15:51:35,-9.44,147.18,77.0,94,20,11.41
285,Mnogovershinnyy,RU,2020-07-09 15:53:31,53.94,139.92,47.8,100,100,3.18
286,Sitka,US,2020-07-09 15:50:17,57.05,-135.33,53.6,93,90,4.7
287,Aksarayskiy,RU,2020-07-09 15:53:32,46.79,48.01,89.6,33,40,6.71
288,Atasu,KZ,2020-07-09 15:53:32,48.68,71.64,71.96,50,4,8.93
289,Lenger,KZ,2020-07-09 15:53:32,42.18,69.88,86.0,25,9,2.28
290,Santa Vitoria Do Palmar,BR,2020-07-09 15:53:32,-33.52,-53.37,49.64,73,58,13.2
291,Methoni,GR,2020-07-09 15:53:32,36.82,21.7,80.01,69,75,11.41
292,Broken Hill,AU,2020-07-09 15:51:37,-31.95,141.43,50.0,61,40,9.17
293,Lompoc,US,2020-07-09 15:50:11,34.64,-120.46,53.6,93,0,2.84
294,Argayash,RU,2020-07-09 15:53:33,55.49,60.88,86.0,33,0,5.37
295,Hirara,JP,2020-07-09 15:50:24,24.8,125.28,84.65,83,100,19.51
296,Ponta Do Sol,PT,2020-07-09 15:50:17,32.67,-17.1,77.0,65,20,14.99
297,Wattegama,LK,2020-07-09 15:53:33,6.8,81.48,78.8,100,20,2.24
